Complaint ID,Product,Sub-product,Issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?,Company_grouped_filtered,Difference in days,Delay_Class
1195175,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,CO,80134,2015-01-15,2015-01-15,Cornerstone Home Lending Inc.,Closed with monetary relief,Yes,No,Low Count Companies,0,0
1195151,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",FL,33175,2015-01-15,2015-01-15,Ocwen,Closed with explanation,Yes,No,Ocwen,0,0
1195173,Credit card,Unknown,Other,PA,17331,2015-01-15,2015-01-20,Bank of America,Closed with explanation,Yes,No,Bank of America,5,1
1195161,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,CA,92563,2015-01-15,2015-01-20,"CL Holdings, LLC",Closed with explanation,Yes,No,Low Count Companies,5,1
1195241,Credit reporting,Unknown,Incorrect information on credit report,SC,29016,2015-01-15,2015-01-16,TransUnion,Closed with explanation,Yes,No,TransUnion,1,0
1195212,Credit card,Unknown,Other,VA,22207,2015-01-15,2015-01-20,Capital One,Closed with explanation,Yes,No,Capital One,5,1
1195201,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",FL,34997,2015-01-15,2015-01-20,Bank of America,Closed with explanation,Yes,Yes,Bank of America,5,1
1195188,Credit reporting,Unknown,Incorrect information on credit report,SC,29016,2015-01-15,2015-01-16,Equifax,Closed with explanation,Yes,No,Equifax,1,0
1195186,Bank account or service,Checking account,Using a debit or ATM card,IL,61491,2015-01-15,2015-01-16,Capital One,Closed with explanation,Yes,No,Capital One,1,0
1195237,Prepaid card,General purpose card,Adding money,FL,32708,2015-01-15,2015-01-20,Amex,Closed with monetary relief,Yes,No,Amex,5,1
1195216,Credit reporting,Unknown,Incorrect information on credit report,MN,55042,2015-01-15,2015-01-20,TransUnion,Closed with explanation,Yes,No,TransUnion,5,1
1195215,Credit reporting,Unknown,Incorrect information on credit report,MN,55042,2015-01-15,2015-01-15,TransUnion,Closed with explanation,Yes,No,TransUnion,0,0
1195214,Credit reporting,Unknown,Incorrect information on credit report,MN,55042,2015-01-15,2015-01-16,Experian,Closed with non-monetary relief,Yes,No,Experian,1,0
1195232,Bank account or service,Savings account,"Account opening, closing, or management",NY,11743,2015-01-15,2015-01-15,Bank of America,Closed with monetary relief,Yes,No,Bank of America,0,0
1195219,Credit reporting,Unknown,Credit reporting company's investigation,SC,29016,2015-01-15,2015-01-15,Experian,Closed with explanation,Yes,No,Experian,0,0
1195218,Credit reporting,Unknown,Credit reporting company's investigation,SC,29016,2015-01-15,2015-01-15,TransUnion,Closed with explanation,Yes,No,TransUnion,0,0
1195229,Debt collection,Credit card,Communication tactics,FL,32034,2015-01-15,2015-01-15,"Ascension Point Recovery Services, LLC",Closed with non-monetary relief,Yes,No,Low Count Companies,0,0
1195225,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,NY,12134,2015-01-15,2015-01-20,Stellar Recovery Inc.,Closed with explanation,Yes,No,Stellar Recovery Inc.,5,1
1195220,Debt collection,Medical,Improper contact or sharing of info,LA,70043,2015-01-15,2015-01-20,Navient,Closed with explanation,Yes,No,Navient,5,1
1195398,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",MN,55355,2015-01-15,2015-01-16,Bank of America,Closed with non-monetary relief,Yes,No,Bank of America,1,0
1195297,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",OH,44216,2015-01-15,2015-01-15,Nationstar Mortgage,Closed with explanation,Yes,No,Nationstar Mortgage,0,0
1195383,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,WA,98056,2015-01-15,2015-01-15,Merchants Credit Corporation,Closed with explanation,Yes,Yes,Low Count Companies,0,0
1194787,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",OH,45216,2015-01-15,2015-01-20,GE Capital Retail,Closed with explanation,Yes,No,GE Capital Retail,5,1
1195339,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",PA,19602,2015-01-15,2015-01-21,Bank of America,Closed,Yes,No,Bank of America,6,1
1194779,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",CO,80916,2015-01-15,2015-01-16,Bank of America,Closed with explanation,Yes,No,Bank of America,1,0
1194780,Bank account or service,Checking account,"Account opening, closing, or management",CA,92301,2015-01-15,2015-01-16,Wells Fargo,Closed with explanation,Yes,No,Wells Fargo,1,0
1194715,Credit reporting,Unknown,Incorrect information on credit report,TX,79316,2015-01-15,2015-01-15,TransUnion,Closed with explanation,Yes,No,TransUnion,0,0
1195293,Credit reporting,Unknown,Incorrect information on credit report,GA,30083,2015-01-15,2015-01-15,TransUnion,Closed with explanation,Yes,Yes,TransUnion,0,0
1195255,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",FL,34209,2015-01-15,2015-01-20,PNC Bank,Closed with explanation,Yes,No,PNC Bank,5,1
1195253,Bank account or service,Checking account,"Account opening, closing, or management",CA,91601,2015-01-15,2015-01-20,U.S. Bancorp,Closed with explanation,Yes,No,U.S. Bancorp,5,1
1195252,Credit reporting,Unknown,Incorrect information on credit report,SC,29445,2015-01-15,2015-01-15,TransUnion,Closed with explanation,Yes,No,TransUnion,0,0
1195246,Credit reporting,Unknown,Incorrect information on credit report,FL,33161,2015-01-15,2015-01-23,TransUnion,Closed with explanation,Yes,No,TransUnion,8,2
1195284,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,CA,90802,2015-01-15,2015-01-15,"Convergent Resources, Inc.",Closed with explanation,Yes,No,"Convergent Resources, Inc.",0,0
1195292,Debt collection,Credit card,Communication tactics,Unknown,Unknown,2015-01-15,2015-01-23,"Valentine and Kebartas, Inc.",Closed with explanation,Yes,No,Low Count Companies,8,2
1195272,Bank account or service,Other bank product/service,Using a debit or ATM card,CA,90504,2015-01-15,2015-01-15,JPMorgan Chase,Closed with explanation,Yes,No,JPMorgan Chase,0,0
1195263,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",CT,06040,2015-01-15,2015-01-20,Ocwen,Closed with explanation,Yes,No,Ocwen,5,1
1193935,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,OH,44128,2015-01-15,2015-01-26,GE Capital Retail,Closed with explanation,Yes,No,GE Capital Retail,11,2
1195258,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,CO,80209,2015-01-15,2015-01-23,"Linebarger Goggan Blair & Sampson, LLP",Closed with explanation,Yes,Yes,Low Count Companies,8,2
1195291,Credit card,Unknown,Unsolicited issuance of credit card,OH,45069,2015-01-15,2015-01-15,U.S. Bancorp,Closed with non-monetary relief,Yes,No,U.S. Bancorp,0,0
1195290,Credit reporting,Unknown,Incorrect information on credit report,OH,45069,2015-01-15,2015-01-15,Experian,Closed with non-monetary relief,Yes,No,Experian,0,0
1195299,Credit card,Unknown,Rewards,AK,99517,2015-01-15,2015-01-15,JPMorgan Chase,Closed with monetary relief,Yes,No,JPMorgan Chase,0,0
1195338,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",PA,19602,2015-01-15,2015-01-20,Ocwen,Closed with explanation,Yes,No,Ocwen,5,1
1194775,Credit reporting,Unknown,Unable to get credit report/credit score,CA,94541,2015-01-15,2015-01-15,Experian,Closed with non-monetary relief,Yes,Yes,Experian,0,0
1194758,Debt collection,Medical,Disclosure verification of debt,IL,62221,2015-01-15,2015-01-20,Tenet HealthCare Corporation,Closed with explanation,Yes,No,Low Count Companies,5,1
1194718,Debt collection,Credit card,Cont'd attempts collect debt not owed,NV,89519,2015-01-15,2015-01-15,Bank of America,Closed with explanation,Yes,No,Bank of America,0,0
1194719,Bank account or service,Other bank product/service,"Account opening, closing, or management",DE,19703,2015-01-15,2015-01-20,Wells Fargo,Closed with explanation,Yes,No,Wells Fargo,5,1
1194716,Credit reporting,Unknown,Incorrect information on credit report,TX,79316,2015-01-15,2015-01-15,Experian,Closed with non-monetary relief,Yes,No,Experian,0,0
1194732,Mortgage,Conventional fixed mortgage,Settlement process and costs,MO,63366,2015-01-15,2015-01-15,U.S. Bancorp,Closed with explanation,Yes,Yes,U.S. Bancorp,0,0
1195298,Credit card,Unknown,Customer service / Customer relations,MI,48271,2015-01-15,2015-01-22,Bank of America,Closed with monetary relief,Yes,No,Bank of America,7,1
1194738,Payday loan,Unknown,Can't contact lender,NV,89106,2015-01-15,2015-01-15,Speedy Cash Holdings,Closed with explanation,Yes,No,Low Count Companies,0,0
1194756,Bank account or service,Checking account,Problems caused by my funds being low,PA,15146,2015-01-15,2015-01-20,PNC Bank,Closed with explanation,Yes,No,PNC Bank,5,1
1194733,Credit reporting,Unknown,Incorrect information on credit report,CA,91601,2015-01-15,2015-01-15,Experian,Closed with explanation,Yes,No,Experian,0,0
1194745,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",NY,11703,2015-01-15,2015-01-15,OneWest Bank,Closed with explanation,Yes,No,Low Count Companies,0,0
1194744,Debt collection,Non-federal student loan,Improper contact or sharing of info,NV,89108,2015-01-15,2015-01-15,"Northstar Location Services, LLC",Closed,Yes,Yes,Low Count Companies,0,0
1194773,Debt collection,Payday loan,Improper contact or sharing of info,CA,95037,2015-01-15,2015-01-15,Direct Financial Solutions LLC,Closed with explanation,Yes,No,Low Count Companies,0,0
1195336,Credit reporting,Unknown,Incorrect information on credit report,UT,84648,2015-01-15,2015-01-15,Experian,Closed with non-monetary relief,Yes,No,Experian,0,0
1194765,Debt collection,Medical,False statements or representation,CA,95677,2015-01-15,2015-01-20,Transworld Systems Inc.,Closed with explanation,Yes,No,Transworld Systems Inc.,5,1
1194764,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",FL,32601,2015-01-15,2015-01-16,Bank of America,Closed with explanation,Yes,No,Bank of America,1,0
1194760,Credit reporting,Unknown,Incorrect information on credit report,TN,38133,2015-01-15,2015-01-20,Revenue Recovery Corporation,Closed with explanation,Yes,No,Low Count Companies,5,1
